"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "XML", "Markdown", "JavaScript", "MS SQL", "CSS", "HTML", "comment", "blank", "total"
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/ProjectInfoStep.tsx", "TypeScript JSX", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 248
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/ReviewSubmitStep.tsx", "TypeScript JSX", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 202
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/SelfAssessmentStep.tsx", "TypeScript JSX", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 186
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-selection/ProjectSelection.tsx", "TypeScript JSX", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 144
"/Users/ndriyo/Documents/Code/primepm/app/_components/reports/Reports.tsx", "TypeScript JSX", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 291
"/Users/ndriyo/Documents/Code/primepm/app/_contexts/AuthContext.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 140
"/Users/ndriyo/Documents/Code/primepm/app/_contexts/CriteriaContext.tsx", "TypeScript JSX", 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 48, 69, 446
"/Users/ndriyo/Documents/Code/primepm/app/_contexts/ProjectContext.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 108
"/Users/ndriyo/Documents/Code/primepm/app/criteria/page.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/ndriyo/Documents/Code/primepm/app/details/[projectId]/page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/ndriyo/Documents/Code/primepm/app/details/page.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 33
"/Users/ndriyo/Documents/Code/primepm/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"/Users/ndriyo/Documents/Code/primepm/app/layout.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/ndriyo/Documents/Code/primepm/app/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ndriyo/Documents/Code/primepm/app/projects/new/page.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ndriyo/Documents/Code/primepm/app/providers.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 38
"/Users/ndriyo/Documents/Code/primepm/app/reports/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ndriyo/Documents/Code/primepm/app/selection/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ndriyo/Documents/Code/primepm/components/layout/PageLayout.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 33
"/Users/ndriyo/Documents/Code/primepm/components/layout/Sidebar.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 101
"/Users/ndriyo/Documents/Code/primepm/components/ui/ConfirmationDialog.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/ndriyo/Documents/Code/primepm/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, -2, -29
"/Users/ndriyo/Documents/Code/primepm/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"/Users/ndriyo/Documents/Code/primepm/memory-bank/activeContext.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"/Users/ndriyo/Documents/Code/primepm/memory-bank/processFlow.md", "Markdown", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/ndriyo/Documents/Code/primepm/memory-bank/productContext.md", "Markdown", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 19, 54
"/Users/ndriyo/Documents/Code/primepm/memory-bank/progress.md", "Markdown", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 5, 75
"/Users/ndriyo/Documents/Code/primepm/memory-bank/projectBrief.md", "Markdown", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 22, 87
"/Users/ndriyo/Documents/Code/primepm/memory-bank/systemPatterns.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
"/Users/ndriyo/Documents/Code/primepm/memory-bank/techContext.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"/Users/ndriyo/Documents/Code/primepm/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/Users/ndriyo/Documents/Code/primepm/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 2, 15
"/Users/ndriyo/Documents/Code/primepm/package-lock.json", "JSON", 0, 0, 3583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3583
"/Users/ndriyo/Documents/Code/primepm/package.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/initial/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 30, 40, 313
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/initial/seed.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 22, 19, 129
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/README.md", "Markdown", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 30, 109
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 30, 40, 305
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 10, 55
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_01_organizations_users.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 8, 6, 33
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_02_criteria.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 7, 6, 50
"/Users/ndriyo/Documents/Code/primepm/prisma/migrations/supabase/seed_03_projects.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 5, 30
